GPT-1,Human-1,GPT-2,Human-2,GPT-3,Human-3,GPT-4,Human-4,GPT-5,Human-5,GPT-6,Human-6,GPT-7,Human-7,GPT-8,Human-8,GPT-9,Human-9,GPT-10,Human-10
13.0,,,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,,,
9.0,,,,,,,,,,,,,,,,,,,
8.0,652.0,,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,215.0,,
4.0,,,,,,,,,,,,,,,,,,,
4.0,,,,4.0,150.0,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,
3.0,,,,3.0,,,,,,,,9.0,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,
,409.0,,,,121.0,,,,,,,,,,,,,,
,346.0,,,,,,,,,,,,,,,,,,
,338.0,,,,,,,,,,,,,,,,,,
,312.0,,,,,,,,,,,,,,,,,,
,279.0,,,,,,,,,,,,,,,,,,
,269.0,,,,,,,,,,,,,,,,,,
,262.0,,,,,,,,,,,,,,,,,,
,256.0,,,,,,519.0,,,,,,,4.0,,,,,
,255.0,,,,,,,,,,,,,,,,,,
,229.0,,,,,,,,,,,,,,,,,,
,218.0,,,,,,98.0,,,,149.0,,,,,,,,
,218.0,,,,,,,,,,,,,,,,302.0,,
,207.0,,,,,,,,,,,,,,,,,,
,200.0,,,,325.0,,163.0,,,,218.0,3.0,,,,,,,
,193.0,,,,,,,,,,,,,,,,,,103.0
,183.0,,,,,,142.0,,153.0,,,,,,,,,,
,180.0,,,,,,,,,,,,,,,,,,
,177.0,,,,,,,,,,,,,,,,,,
,177.0,,,,,,,,,,,,,,,,,,
,,6.0,566.0,,,,,,,,,,,,,,,,
,,4.0,,,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,,,,,
,,3.0,278.0,,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,,,,,
,,2.0,,,,,,,,,,,,,,,,,
,,2.0,,,,,,,,,,,,,,,,,
,,2.0,,,,,,,,,,,,,,,,,
,,2.0,,,,,,,,,,,,,,,,,
,,2.0,,,,,,,,,,,,,,,,,
,,2.0,,,,,,,,,,,,,,,,,
,,,615.0,,,,,,,,,,,,,,,,
,,,597.0,,,,,,,,,,,,,,,,
,,,393.0,,,,,,,,,,,,,,,,
,,,378.0,,,,,,,,,,,,,,,,
,,,374.0,,,,,,,,,,,,,,,,
,,,349.0,,,,,,,,,,,,,,,,
,,,345.0,,,,,,,,,,,,,,,,
,,,327.0,,,,,,,,,,,,,,,,
,,,296.0,,,,,,,,,,,,,,,,
,,,288.0,,,,,,,,,,,,,,,,
,,,276.0,,,,,,,,,,,,,,,,
,,,249.0,,,,,,,,,,,,,,,,
,,,228.0,,,,,,,,,,,,,,,,
,,,222.0,,,,,,,,,,,,,,,,
,,,221.0,,,,,,,,,,86.0,,,,,,
,,,220.0,,,,,,,,,,,,,,,,
,,,219.0,,,,,,,,,,,,,,,,
,,,212.0,,,,,,,,,,,,,,,,
,,,,8.0,,,,,,,,3.0,,,,,,,
,,,,6.0,,,,,,,,,,,,,,,
,,,,6.0,,,,,,,,,,,,,,,
